 ,X,Y,BX,BY,Width,Height,Angle,Length
1,326.5,242.5,304,98,46,290,-81.15,292.482
2,256.5,282,232,92,50,381,-82.652,383.146
3,296.5,352.5,268,230,58,246,-76.903,251.543
4,495,260.5,148,224,695,74,-6.005,697.829
5,247,184,56,180,383,9,-1.2,382.084
6,443.5,209,414,90,60,239,-76.077,245.204
7,587.5,331,340,327,496,9,-0.926,495.065
8,461.5,115.5,321,92,283,49,-9.66,286.056
9,628.75,185,611,85,37,202,-79.708,204.287
10,560.25,235.25,545,154,32,164,-79.029,165.525
11,479.5,220.5,344,158,273,126,24.682,299.348
12,345.5,178.5,331,105,30,149,-78.914,150.814
13,143.5,296.5,128,187,33,221,-81.724,222.315
14,109.5,313,1,273,218,81,-20.237,231.277
15,388.75,453,59,391,661,125,-10.633,672.039
16,519.5,379,490,262,61,235,-75.619,241.57
17,223.5,505.5,223,435,2,143,-89.597,142.004
18,152,606.75,1,596,304,23,-4.059,303.762
19,124.25,546.5,20,542,210,11,-2.733,209.739
20,84,526,60,453,50,147,-71.447,154.003
21,118.25,455,12,439,214,34,-8.827,215.047
22,51.5,365.5,12,354,81,24,-16.04,83.241
23,29.25,410.25,14,364,32,94,-71.934,98.349
24,97,431.5,79,394,37,76,-64.359,83.193
25,561.5,577.25,250,461,625,234,-20.516,666.257
26,501,617.5,491,549,22,139,-81.347,139.589
27,319.5,523.25,309,481,23,86,-75.407,87.317
28,480,685.5,299,664,364,45,-6.911,365.657
29,223.25,855.75,10,771,428,171,21.744,460.246
30,535.5,794.25,428,770,216,50,-12.965,220.625
31,633.75,788.25,629,616,11,346,-91.58,344.631
32,693,775.5,642,624,103,304,-71.395,319.708
33,794.75,814,764,666,63,297,-78.077,302.526
34,804.25,754.5,747,706,116,99,-139.44,150.712
35,799.5,813.5,735,789,130,50,-159.201,137.993
36,763.75,873.25,645,831,239,86,-19.509,253.027
37,595.75,906,530,861,133,92,-34.684,159.916
38,468,840.5,327,833,284,16,176.966,283.397
39,392.5,888,311,843,164,92,-29.174,186.682
40,280,907,277,853,7,109,-86.82,108.167
41,582.25,523.75,565,404,36,241,-81.603,243.106
42,841.75,394,807,258,71,273,-75.667,280.739
43,794.25,394.75,775,290,40,211,-79.372,214.174
44,735.25,474.25,732,340,8,270,-88.406,269.604
45,803,565,744,541,119,49,-157.865,127.389
46,787.75,614.75,787,579,3,73,-88.025,72.543
47,829.5,852.75,783,783,94,141,-56.499,168.491
48,715.5,799.5,632,775,168,50,-16.352,174.04
49,235,745.5,190,636,91,221,-112.249,237.697
50,298.25,690,286,620,26,142,-79.749,143.287
51,92,711.25,0,622,185,180,-135.869,256.356
52,291,525,289,485,5,81,-87.138,80.1
53,371.5,353.5,363,324,19,60,-106.966,61.685
54,403.5,303.75,399,285,11,39,-75.069,38.81
55,292.25,363.25,212,353,162,22,-7.583,162.925
56,408.75,436.5,368,411,83,52,-31.724,96.991
57,617.75,403.5,612,350,13,108,-96.134,107.616
58,651.75,361.25,646,341,13,42,-72.848,42.385
59,704.25,400.5,659,379,92,44,-25.171,101.1
60,624.75,451.5,563,445,125,14,-6.009,124.182
61,684.75,443.25,650,430,71,28,21.588,74.743
62,677.25,476.25,674,450,8,54,-98.13,53.033
63,603.5,498.25,547,460,115,78,-34.209,137.849
64,719,590.25,659,570,121,42,-18.65,126.65
65,657.25,577.5,656,550,4,56,-87.397,55.057
66,626,547.25,617,509,20,78,-76.052,78.824
67,618.5,564.25,566,552,106,26,13.134,107.82
68,476.75,855.25,476,808,3,96,-89.1,95.512
69,496.25,856.5,494,808,6,98,-86.755,97.156
70,281.75,771,275,744,15,56,-76.209,56.633
71,122.25,764.25,94,696,58,138,-67.662,148.656
72,48.75,770.75,41,698,17,147,-96.081,146.323
73,61.25,871.75,46,849,32,47,-55.305,55.34
74,79.5,869,73,838,15,63,-102.724,63.561
75,152.25,510,146,469,14,83,-81.333,82.947
76,166.25,510.25,149,474,36,74,-115.145,81.194
77,70.25,568.5,25,537,92,64,34.843,110.269
78,459.25,351.75,410,350,100,5,-2.616,98.603
79,432.5,382.25,417,335,33,96,-71.293,99.771
80,476,402,447,362,60,81,-126.409,99.403
81,688.75,348.25,680,273,19,152,-82.992,151.633
82,673,423.25,643,420,61,8,6.183,60.351
83,340.25,746.25,252,733,178,28,171.193,179.618
84,395.5,661.5,372,579,49,167,-73.872,172.8
85,611,853.75,598,834,28,41,-56.31,48.675
86,455.25,494.25,423,468,66,54,-38.713,83.943
87,512.5,495.75,494,489,39,15,-20.886,40.672
88,438.5,391,419,358,41,68,-120.838,78.032
89,837.5,611.5,824,582,29,61,-64.983,66.212
90,347.75,550.75,301,528,95,47,-153.8,105.321
91,808.25,924.75,744,921,130,9,176.685,129.717
92,375.75,890.25,305,855,143,72,-153.193,158.539
93,387.75,829,387,807,3,45,-93.252,44.071
94,549,819.25,537,808,25,24,-44.397,33.589
95,385.25,568,379,537,14,64,-77.905,64.43
96,410.5,568.75,409,555,4,29,-96.226,27.663
97,730.25,173,709,93,44,162,-74.88,166.773
98,784.5,159,761,93,49,134,-70.155,141.397
99,761.75,243.5,710,207,105,74,35.196,126.654
100,741.25,191.25,623,138,238,108,155.556,259.785
101,836.25,187.25,811,108,52,160,-72.106,167.608
102,1232.5,222,1189,90,88,265,-71.761,277.966
103,1136,451.5,992,376,289,152,27.668,325.185
104,1027.5,306,977,116,102,381,-75.116,393.193
105,1071,292.5,1026,87,91,412,-77.648,420.739
106,1193,282.5,1153,132,81,302,-75.116,311.45
107,1138,595,1011,585,255,21,-4.502,254.786
108,1112.5,608.5,1078,529,70,160,-66.541,173.326
109,1090.5,610.5,1051,508,80,206,-68.925,219.695
110,1034.5,638.5,1014,582,42,114,-70.058,120.208
111,985,505.5,973,417,25,178,-82.278,178.62
112,1074.5,766.5,881,709,388,116,-16.55,403.725
113,1141.5,704.5,1017,685,250,40,-8.902,252.036
114,1061,836,842,741,439,191,-23.451,477.435
115,1013.5,879.5,1003,739,22,282,-85.726,281.784
116,1048.5,863,1013,759,72,209,-71.153,219.784
117,1196.5,660.5,1138,642,118,38,-17.549,122.711
118,233,977,151,957,165,41,-13.707,168.808
119,161.5,1003,89,990,146,27,-10.166,147.313
120,630,926.5,531,860,199,134,146.11,238.523
121,839,351,743,294,193,115,-149.3,223.294
122,899,654,897,526,5,257,-89.105,256.031
123,938,659.5,910,617,57,86,-56.622,101.789
124,1244,490,1236,446,17,89,-79.695,89.443
125,1161.5,522,1126,499,72,47,-147.061,84.599
126,1109.5,553.5,1101,359,18,390,-87.498,389.371
127,1128.5,161.5,1121,122,16,80,-79.249,80.411
128,1183,200,1131,200,105,1,180,104
129,1125,234.5,1069,234,113,2,0.512,112.004
130,908,375.5,843,367,131,18,172.55,131.107
131,1066,364,925,281,283,167,-30.483,327.231
132,452,953.5,348,899,209,110,27.656,234.83
133,925.5,282.5,839,125,174,316,-61.224,359.38
